,title,date,company,company_link,location,type-salary,description
0,"Associate, Bank Secrecy (Data Entry & Support)
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_89"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_107"")>",https://www.indeed.com/cmp/Oriental-Bank?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb66dti5ck800&fromjk=dbe6f03ddb5ad16a,"San Juan, PR 00918",Full-time,
1,"Data Manager
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_90"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_115"")>",https://www.indeed.com/cmp/Alaka-Ina-Foundation-Family-of-Companies?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb69ulkomt801&fromjk=62ab20d69e4c45d6,"San Juan, PR",,"The Alaka’ina Foundation Family of Companies (FOCs) has a need for a Data Manager to provide support to the CDC Division of Vector-Borne Diseases (DVBD) Dengue Branch in San Juan, Puerto Rico.
RESPONSIBILITES INCLUDE:
Provide daily data management support for research and public health activities at the Dengue Branch.
Develop and maintain data programs to analyze raw data from laboratory tests and surveillance systems using statistical software.
Develop and maintain databases to store relevant data, production of real-time data reports on test progress, and production of summary reports and higher-level analysis.
Perform data management ensuring accuracy when developing data collection procedures.
Prepare routine reports on epidemiological and surveillance studies and projects.
Assist and help train researchers with statistical software use. The incumbent may use GIS software, such as ArcGIS, in various applications. These software tools are typically sufficient to produce appropriate statistical graphics, but post-processing in other software, such as Microsoft Word, Microsoft PowerPoint, or Adobe Acrobat, may be expected.
Provide detailed written reports of data management and analyses conducted to DVBD researchers and DVBD senior statisticians. Such reports will provide the basis for analysis components of presentations and manuscripts for publication.
REQUIRED DEGREE/EDUCATION/CERTIFICATION:
Bachelor's in relevant field.
REQUIRED SKILLS AND EXPERIENCE:
Must be proficient at Microsoft Excel
DESIRED SKILLS AND EXPERIENCE:
Experience with data management of epidemiological research is preferred.
REQUIRED CITIZENSHIP/CLEARANCE:
Must be able to pass a Federal background check
The Alaka`ina Foundation Family of Companies (FOCs) is comprised of industry-recognized government service firms who are designated as Native Hawaiian Organization (NHO)-Owned and fall into the respective categories of standard Small Business, 8(a) certified Small Disadvantaged Business (SDB), and HUBZone. The FOCs includes Ke`aki Technologies, Laulima Government Solutions, Kūpono Government Services, Kāpili Services, and Po`okela Solutions. Alaka`ina Foundation activities under the 501(c)3 principally benefit the youth of Hawaii through charitable efforts which includes providing innovative educational programs that combine leadership, science & technology, and environmental stewardship.
For additional information please visit www.alakainafoundation.com.
We are an Equal Opportunity/Affirmative Action Employer of individuals with disabilities and veterans. We are proud to state that we do not discriminate in employment decisions on the basis of race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. If you are a person with a disability and you need an accommodation during the application process, please click here to request accommodation. We E-Verify all employees.
#LI-JS1"
2,"Data Analyst
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_91"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_121"")>","https://www.indeed.com/cmp/Popular,-Inc.?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb6cl3kc2g800&fromjk=caf7f38242f627e3","San Juan, PR",Full-time,"At Popular, we offer a wide variety of services and financial solutions to serve our communities in the Island and abroad. As employees, we are dedicated to making our customers dreams come true by offering financial solutions in each stage of their life. Our extensive trajectory demonstrates the resiliency and determination of our employees to innovate, reach for the right solutions and strongly support the communities we serve; this is why we value their diverse skills, experiences and backgrounds.

Are you ready for a rewarding career?
Over 7,900 men and women in Puerto Rico, Virgin Islands and the United States work at Popular.
Come and join our community!
Full Time Opportunity
General Description
The Data Analyst designs and executes data mining plans, performs primary and secondary analyses, prepares reports, and conducts research & presentations of moderate difficulty on a wide range of projects. Tasks typically involve quantitative analysis, data integration from both internal & external sources and database development. It also involves market research project coordination.
Essential Duties and Responsibilities
Performs data mining and analyze large sets of data to identify patterns and trends by applying quantitative and analytical tools. Ensures data quality by performing segmentation, applicable policies, and accuracy audits.
Pinpoints trends, correlations, and patterns in complicated data sets.
Regularly review and assess condition of retail lending portfolios and develop and implement credit policies and monitoring procedures to maintain credit risk exposure within acceptable parameters.
Monitor and assess the post-implementation impact of risk management strategies.
Identifies methods and procedures for obtaining, maintaining, and updating customer related data, including the collection, coding, and tabulation. Leads the evaluation of the data as well as the database development and maintenance or relational database and data system.
Uses statistical methods to analyze data and generate useful reports. For example, customer profiles and response analyses.
Develops analysis and recurrent reports for management and internal clients, presenting the results of research and analysis. Provides concise data reports and clear data visualizations for management.
Helps facilitate processes to translate data insights into strategic direction.
Supports integration of credit risk models previously developed into database process and analyses.
Make recommendations of credit policies adjustments and portfolio management strategies based on the results of the analysis made.
Works with management and staff to ensure understanding and implementation of applicable policies/guidelines, automation systems and procedures.
Maintain consistent open communication and develop strong relationships with credit underwriting units.
Manages projects as assigned.
Performs related duties and responsibilities required.
Education
Bachelor’s degree (B.A.) in Industrial Engineering, Computer Science or Economics, Statistics or Mathematics
Experience
Two (2) years of experience in data mining, research, market analysis and/or data management, financial analysis or other related fields.
Other Qualifications
Knowledge of and ability to design database analyses.
Knowledge of and ability to perform quantitative analysis.
Working knowledge of data management, including database and spreadsheet applications, with the ability to use moderately complex models or specialized computer applications.
Advanced statistical analysis skills. Specifically, ability to apply advanced analysis methodologies, interpret and present findings in a clear, concise manner, including the creation and use of tables, charts and graphics to summarize results.
Proficient in statistical programs like SAS, SPSS, R and / or data processing tools like SQL, Power Pivot, FoxPro and Cognos. (preferable)
Ability to evaluate design, analysis and conclusions based on database information.
Ability to prepare clear and comprehensive reports.
Ability to make sound decisions in a consistent manner with essential job functions.
Excellent oral and communication skills, both in English and Spanish.
Ability to work independently with minimal supervision.
Certifications on Data Science, Analytics and/or Data Management is a plus
Important: The candidate must provide evidence of academic preparation or courses related to the job posting.

Popular requires all employees to be fully vaccinated against COVID-19 by the first day of work. We will require you to provide a copy of your COVID-19 Vaccination Record Card. (1)
(1) In general, people are considered fully vaccinated: ±
2 weeks after their second dose in a 2-dose series, such as the Pfizer or Moderna vaccines, or
2 weeks after a single-dose vaccine, such as Johnson & Johnson's Janssen vaccine

Popular may provide vaccination exemptions for medical or pregnancy reasons, or due to a sincerely held religious belief or practice, unless doing so would impose an undue hardship to Popular or pose a direct threat to the health and safety of others. If you wish to request a vaccination exemption or have a disability and need assistance with the application process, please contact us at asesorialaboral@popular.com. This email inbox is monitored for such types of requests only. All information you provide will be kept confidential and will be used only to the extent required to provide needed exemptions or reasonable accommodations. Any other correspondence will not receive a response.

As Puerto Rico’s leading financial institution, we reaffirm our commitment to offer essential financial services and solutions for our customers at all times, including during emergency situations and/or natural disasters. Popular’s employees are considered essential workers, whose role is critical in the continuity of these important services even under such circumstances. By applying to this position, you acknowledge that Popular may require your services during and immediately after any such events.
.
.

Popular is an Equal Opportunity Employer
Learn more about us at www.popular.com and keep updated with our latest job postings at www.jobs.popular.com.


Job Segment: Data Analyst, Quantitative Analyst, Statistics, Data Management, Data"
3,"Xtillion: Data Science Associate
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_92"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_128"")>",https://www.indeed.com/cmp/Red-Ventures?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb6fgvkp26800&fromjk=4dd7dad6358b878e,"San Juan, PR",Full-time,"Are you looking to join a fast-paced team at the forefront of the technology services industry? Xtillion is a high-growth technology services firm based in San Juan, PR. The company seeks to capitalize on the booming Big Data and AI markets by helping enterprise clients optimize and secure their data infrastructure and turn data into a strategic advantage through next-gen analytics and AI tools. The company has an aggressive growth strategy, looking to expand across various industries within the United States. Xtillion is committed to attracting, developing, and retaining exceptional talent by offering a unique opportunity for growth for suitable candidates.
Data Science Associate
As a Data Science Associate, your role will encompass a diverse range of responsibilities. You will collect, clean, and analyze large volumes of data. Utilizing statistical techniques, machine learning algorithms, and predictive modeling, you will extract valuable insights and patterns from the data to support business decision-making. As a Data Science Associate, your contributions will play a vital role in shaping business strategies and driving innovation within the organization and our clients.
Responsibilities include:
Use advanced machine learning, statistical modeling and optimization techniques to build real-world solutions for online and offline decision-making.
Autonomously own data science client projects from start to finish with limited guidance
Develop and implement data-driven solutions for clients, create visualizations to communicate findings, and collaborate with cross-functional teams to address client needs.
Collect and mine data from disparate data sources, digging deeper to understand the process behind the data.
Communicate effectively with business leaders and clients on project status, timeline and technical results.
Translate business opportunities into data science problems, clearly defining project scope + performance metrics to measure success.
Contribute to the continuous improvement of data science methodologies, staying up-to-date with industry trends and best practices.
We're tight-knit, fast-paced and even faster-growing teams working with a large amount of complex data. In this role, you'll identify new growth opportunities, build powerful visualizations and unearth actionable insights.
What we are looking for:

General:
Bachelor's degree in statistics, applied mathematics, or related discipline
Fully bilingual in English and Spanish with excellent communication skills.
Proactive, positive attitude, well-organized, and adept at managing competing deadlines and priorities.
Highly motivated, strong desire to learn and grow with the company, and possess a positive, energetic attitude.
Comfortable in a fast-paced and changing environment, wanting to learn new skills.
Strong communication skills to effectively collaborate with clients and team members.
Excellent problem-solving skills and the ability to work independently as well as part of a team.
A passion for learning and staying updated with the latest technologies and industry trends.
Technical:
Some experience solving complex problems through the use of predictive modeling.
Experience in querying and processing data from complex relational databases.
Training and knowledge in machine learning, statistical modeling and/or optimization.
Demonstrated ability to synthesize data into actionable insights and communicate recommendations to clients and leadership.
Proficiency with data mining, mathematics, and statistical analysis.
Pattern recognition and predictive modeling is a plus
Experience with Excel, SQL, and programming languages (ex: Java/Python, SAS)
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects
We offer competitive salaries and a comprehensive benefits program for full-time employees, including medical, dental and vision coverage, paid time off and 401(k) plan.
Xtillion is an equal opportunity employer that does not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or any other basis protected by law. Employment at Red Ventures is based solely on a person's merit and qualifications.
Click here for more details regarding the employee privacy policy: https://www.redventures.com/legal/us-emp-privacy-notice
Questions about this Privacy Notice can be directed to employeerights@redventures.com. Alternatively, you may raise any questions or concerns to your manager, HR Business Partner, or through the Privacy Team."
4,"Xtillion: Data Science Associate
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_93"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_128"")>",https://www.indeed.com/cmp/Red-Ventures?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb6fgvkp26800&fromjk=4dd7dad6358b878e,"San Juan, PR",Full-time,"Are you looking to join a fast-paced team at the forefront of the technology services industry? Xtillion is a high-growth technology services firm based in San Juan, PR. The company seeks to capitalize on the booming Big Data and AI markets by helping enterprise clients optimize and secure their data infrastructure and turn data into a strategic advantage through next-gen analytics and AI tools. The company has an aggressive growth strategy, looking to expand across various industries within the United States. Xtillion is committed to attracting, developing, and retaining exceptional talent by offering a unique opportunity for growth for suitable candidates.
Data Science Associate
As a Data Science Associate, your role will encompass a diverse range of responsibilities. You will collect, clean, and analyze large volumes of data. Utilizing statistical techniques, machine learning algorithms, and predictive modeling, you will extract valuable insights and patterns from the data to support business decision-making. As a Data Science Associate, your contributions will play a vital role in shaping business strategies and driving innovation within the organization and our clients.
Responsibilities include:
Use advanced machine learning, statistical modeling and optimization techniques to build real-world solutions for online and offline decision-making.
Autonomously own data science client projects from start to finish with limited guidance
Develop and implement data-driven solutions for clients, create visualizations to communicate findings, and collaborate with cross-functional teams to address client needs.
Collect and mine data from disparate data sources, digging deeper to understand the process behind the data.
Communicate effectively with business leaders and clients on project status, timeline and technical results.
Translate business opportunities into data science problems, clearly defining project scope + performance metrics to measure success.
Contribute to the continuous improvement of data science methodologies, staying up-to-date with industry trends and best practices.
We're tight-knit, fast-paced and even faster-growing teams working with a large amount of complex data. In this role, you'll identify new growth opportunities, build powerful visualizations and unearth actionable insights.
What we are looking for:

General:
Bachelor's degree in statistics, applied mathematics, or related discipline
Fully bilingual in English and Spanish with excellent communication skills.
Proactive, positive attitude, well-organized, and adept at managing competing deadlines and priorities.
Highly motivated, strong desire to learn and grow with the company, and possess a positive, energetic attitude.
Comfortable in a fast-paced and changing environment, wanting to learn new skills.
Strong communication skills to effectively collaborate with clients and team members.
Excellent problem-solving skills and the ability to work independently as well as part of a team.
A passion for learning and staying updated with the latest technologies and industry trends.
Technical:
Some experience solving complex problems through the use of predictive modeling.
Experience in querying and processing data from complex relational databases.
Training and knowledge in machine learning, statistical modeling and/or optimization.
Demonstrated ability to synthesize data into actionable insights and communicate recommendations to clients and leadership.
Proficiency with data mining, mathematics, and statistical analysis.
Pattern recognition and predictive modeling is a plus
Experience with Excel, SQL, and programming languages (ex: Java/Python, SAS)
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects
We offer competitive salaries and a comprehensive benefits program for full-time employees, including medical, dental and vision coverage, paid time off and 401(k) plan.
Xtillion is an equal opportunity employer that does not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or any other basis protected by law. Employment at Red Ventures is based solely on a person's merit and qualifications.
Click here for more details regarding the employee privacy policy: https://www.redventures.com/legal/us-emp-privacy-notice
Questions about this Privacy Notice can be directed to employeerights@redventures.com. Alternatively, you may raise any questions or concerns to your manager, HR Business Partner, or through the Privacy Team."
5,"Business Intelligence Analyst, Client Data Analytics & Reporting
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_94"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_137"")>",https://www.indeed.com/cmp/Combined-Insurance?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb6mm3kmdc800&fromjk=9b5cfb3e0541d734,"San Juan, PR",Full-time,"Role Purpose
The Business Intelligence Analyst, Client Data Analytics & Reporting is a highly motivated and experienced individual who will work closely with Claims leaders, IT professionals, and other stakeholders to extract, analyze, and deliver actionable insights from complex datasets.
Key Responsabilities
Partner with cross-functional teams, including Claims leaders, underwriting, finance, IT, and data management, to understand business requirements and develop data-driven insights to support decision making.
Perform in-depth data analysis, utilizing analytical thinking and problem-solving skills to identify patterns, trends, and relationships within large datasets.
Develop and implement processes for data validation and reconciliation to ensure data quality and reliability.
Utilize Microsoft Excel, PowerBI, SQL, Azure, Python, or QlikSense, to manipulate and analyze data, creating insightful reports and visualizations to support decision-making.
Apply statistical concepts such as z-scores, correlation, outlier identification to further refine existing datasets and provide meaningful insights.
Possess a ""team-player"" mentality with a willingness to handle tasks of any nature to support the team's goals.
Continuously learn and adapt to new technologies, staying up to date with industry trends and developments."
6,"Business Analyst Jr. CAM
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_95"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_152"")>",https://www.indeed.com/cmp/Chubb-Insurance?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb6rd2imiq80b&fromjk=23b7e89ee41ee7d8,"San Juan, PR",Full-time,"Role Purpose
The Business Analyst is responsible to help businesses implement technology solutions in a cost- effective way. It is responsible for determining the requirements of a project or program and or process reengineering. Combines insurance business knowledge, process and data analysis, in order to translate business requirements into system deployments and/or business process changes.
Key Responsibilities
Plan, organize and conduct business process reengineering/improvement projects.
Work with functional unit management and personnel to identify, define and document business needs and objectives, current operational procedures, problems, input and output requirements, and levels of systems access.
Act as a liaison between end-user and technical staff.
Participate in the analysis, design, configuration and testing of systems to ensure optimal operational performance.
Develop requirements for new systems or enhancements to existing systems; ensures the system design fits the needs of the users.
Perform strategic analysis of processes and /or operating areas where specific issues or items need to be corrected, examined, or improved.
Develop statical reports and creates reporting tools.
Develop and document guidelines to support operational efficiency.
Role Profile
Prepare and analyze reports.
Develop and implements new projects at local and regional level.
Coordinate with cross functional teams (local operations and regional IT) requests for Sponsors parameters, collectors, billing methods, products, campaigns billing cycles and following.
Perform specials projects and other related duties as assigned.

Requirements
Bachelor’s Degree in Business Administration or Engineering.
Project Management skills including advance knowledge of software to track and control projects completion.
Proficient in MS Applications (Word, Excel (Macro) and Power Point).
Programming domain.
Knowledge of SQL, Java, Active Reports and VBA.
Intermediate knowledge of the structure and content of the English and Spanish Language.

Chubb is the world’s largest publicly traded property and casualty insurer. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance, and life insurance to a diverse group of clients. The company is distinguished by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength, underwriting excellence, superior claims handling expertise and local operations globally.

At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion, and other conditions or opportunities of employment, without regard to race, color, religious creed, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin, ancestry, mental and physical disability, medical condition, genetic information, military and veteran status, age, and pregnancy or any other characteristic protected by law. Performance and qualifications are the only basis upon which we hire, assign, promote, compensate, develop and retain employees. Chubb prohibits all unlawful discrimination, harassment and retaliation against any individual who reports discrimination or harassment."
7,"Senior Project Data Assistant
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_96"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_159"")>",https://www.indeed.com/cmp/Cdm-Smith?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb6uhnkonr801&fromjk=9f77c8e94fa10708,"San Juan, PR",Full-time,"CDM Smith is seeking a data analyst to join our program in Puerto Rico as a Project Controls Specialist! This position will require co-location at a client office.

Duties include:
Identify and recommend improvements to existing processes and or systems
Assist Project Analysts in the development of tools, standards, dashboards, and templates for fulfilling the responsibilities of the PDT
Develop and update program-wide processes and procedures documentation
Support the development of training and change management content related to processes, procedures, controls, quality management, and other related functions
Conduct quality management activities to ensure compliance with governance and standards; identify improvement opportunities as needed.

This role reviews an edits data and documents according to required standards by utilizing prescribed tools and methods to ensure company guidelines and client specifications are followed. Applies data analysis or data modeling techniques to establish, modify or maintain complex data structures and their associated components to increase efficiency of structures and components. Provides data support to the project manager, project control and the overall project team. Reviews and edits data and documents according to required standards. Recommends business project data processes to improve and support business activities. Tracks project documents and logs accordingly. Performs other duties as required.
Minimum Qualifications
High School diploma or equivalent. 5 years of related experience. Domestic and/or international travel may be required. The frequency of travel is contingent on specific duties, responsibilities, and the essential functions of the position, which may vary depending on workload and project demands. Equivalent additional directly related experience will be considered in lieu of a degree.
Preferred Qualifications
Bilingual a plus.
Amount of Travel Required
30%
Skills and Abilities
Possesses a working knowledge of database entry and navigation. Ability to interact with project team members and clients at various levels. Good communication and interpersonal skills. Excellent knowledge of Microsoft Office suite of tools (Outlook, Excel, Word). Excellent ability to complete assignments on time and prioritize work with competing deadlines. Good analytical and problem solving skills.
EEO Statement
We attract the best people in the industry, supporting their efforts to learn and grow. We strive to create a challenging and progressive work environment. We provide career opportunities that span a variety of disciplines and geographic locations, with projects that our employees plan, design, build and operate as diverse as the needs of our clients. CDM Smith is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, pregnancy and pregnancy-related conditions, sexual orientation, gender identity, national origin, age, marital status, disability, citizenship status, genetics, protected veteran status or any other characteristics protected by applicable law.
Background Check and Drug Testing Information
CDM Smith Inc. and its divisions and subsidiaries (hereafter collectively referred to as “CDM Smith”) reserves the right to require background checks including criminal, employment, education, licensure, etc. as well as credit and motor vehicle when applicable for certain positions. In addition, CDM Smith may conduct drug testing for designated positions. Background checks are conducted after an offer of employment has been made in the United States. The timing of when background checks will be conducted on candidates for positions outside the United States will vary based on country statutory law but in no case, will the background check precede an interview. CDM Smith will conduct interviews of qualified individuals prior to requesting a criminal background check, and no job application submitted prior to such interview shall inquire into an applicant's criminal history. If this position is subject to a background check for any convictions related to its responsibilities and requirements, employment will be contingent upon successful completion of a background investigation including criminal history. Criminal history will not automatically disqualify a candidate. In addition, during employment individuals may be required by CDM Smith or a CDM Smith client to successfully complete additional background checks, including motor vehicle record as well as drug testing.
Consumer Report, Investigative Consumer Report and Drug Testing Information
CDM Smith Inc. and its divisions and subsidiaries (hereafter collectively referred to as “CDM Smith”) reserves the right to require consumer reports or investigative consumer reports containing information about you in connection with your application for employment. The consumer report or investigative consumer report will provide information including but not limited to verification of employment, education and licensure, etc. as well as credit when applicable for certain positions. If this position is subject to a consumer report or investigative consumer report related to its responsibilities and requirements, employment will be contingent upon successful completion of the report. CDM Smith may also conduct drug testing for designated positions. In addition, during employment individuals may be required by CDM Smith or a CDM Smith client to successfully complete additional consumer reports or investigative consumer reports, as well as drug testing.
Agency Disclaimer
All vendors must have a signed CDM Smith Placement Agreement from the CDM Smith Recruitment Center Manager to receive payment for your placement. Verbal or written commitments from any other member of the CDM Smith staff will not be considered binding terms. All unsolicited resumes sent to CDM Smith and any resume submitted to any employee outside of CDM Smith Recruiting Center Team (RCT) will be considered property of CDM Smith. CDM Smith will not be held liable to pay a placement fee.
Additional Compensation
All bonuses at CDM Smith are discretionary and may or may not apply to this position.
Business Unit
TSU
Group
PSF
Assignment Category
Fulltime-Regular
Employment Type
Regular
Visa Sponsorship Available
No - We will not support sponsorship, i.e. H-1B or TN Visas for this position"
8,"Business Analyst Jr. CAM
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_97"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_165"")>",https://www.indeed.com/cmp/Combined-Insurance?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb72gjhanf800&fromjk=ce03117b87ab735a,"San Juan, PR",Full-time,"Role Purpose
The Business Analyst is responsible to help businesses implement technology solutions in a cost- effective way. It is responsible for determining the requirements of a project or program and or process reengineering. Combines insurance business knowledge, process and data analysis, in order to translate business requirements into system deployments and/or business process changes.
Key Responsibilities
Plan, organize and conduct business process reengineering/improvement projects.
Work with functional unit management and personnel to identify, define and document business needs and objectives, current operational procedures, problems, input and output requirements, and levels of systems access.
Act as a liaison between end-user and technical staff.
Participate in the analysis, design, configuration and testing of systems to ensure optimal operational performance.
Develop requirements for new systems or enhancements to existing systems; ensures the system design fits the needs of the users.
Perform strategic analysis of processes and /or operating areas where specific issues or items need to be corrected, examined, or improved.
Develop statical reports and creates reporting tools.
Develop and document guidelines to support operational efficiency.
Role Profile
Prepare and analyze reports.
Develop and implements new projects at local and regional level.
Coordinate with cross functional teams (local operations and regional IT) requests for Sponsors parameters, collectors, billing methods, products, campaigns billing cycles and following.
Perform specials projects and other related duties as assigned."
9,"Business Intelligence Analyst, Client Data Analytics & Reporting
- job post","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_98"")>","<selenium.webdriver.remote.webelement.WebElement (session=""cfb4b55e67d9c710bc1a03145d6420c5"", element=""6F9CA1E9C9CAECD2E40259EB97EBC3DB_element_174"")>",https://www.indeed.com/cmp/Chubb-Insurance?campaignid=mobvjcmp&from=mobviewjob&tk=1hekb769dkc0g801&fromjk=e01c6b2fbd18915f,"San Juan, PR",Full-time,"Role Purpose
The Business Intelligence Analyst, Client Data Analytics & Reporting is a highly motivated and experienced individual who will work closely with Claims leaders, IT professionals, and other stakeholders to extract, analyze, and deliver actionable insights from complex datasets.
Key Responsabilities
Partner with cross-functional teams, including Claims leaders, underwriting, finance, IT, and data management, to understand business requirements and develop data-driven insights to support decision making.
Perform in-depth data analysis, utilizing analytical thinking and problem-solving skills to identify patterns, trends, and relationships within large datasets.
Develop and implement processes for data validation and reconciliation to ensure data quality and reliability.
Utilize Microsoft Excel, PowerBI, SQL, Azure, Python, or QlikSense, to manipulate and analyze data, creating insightful reports and visualizations to support decision-making.
Apply statistical concepts such as z-scores, correlation, outlier identification to further refine existing datasets and provide meaningful insights.
Possess a ""team-player"" mentality with a willingness to handle tasks of any nature to support the team's goals.
Continuously learn and adapt to new technologies, staying up to date with industry trends and developments.

Requirements
Bachelor's degree in Computer Science, Engineering, Mathematics, Statistics, Economics, Business Administration or a related quantitative field.
3+ years of experience in data analytics, business intelligence, conducting research, and providing insights.
Strong experience in asset development using analytics tools, such as SQL, Qlik, PowerBI, Tableau, or similar.
Strong analytical thinking and problem-solving skills, with the ability to work with large and complex datasets.
Proficiency in Microsoft Excel and PowerBI for data manipulation, analysis, and reporting.
Self-starter with an eye for detail, can independently set and manage competing priorities.
Exceptional communication and interpersonal skills, with the ability to effectively facilitate and collaborate with business leaders, technical teams, and stakeholders.
It would be a plus if you have:
1-2 years of Insurance experience or strong understanding of the Insurance Value Chain and core insurance functions.
Experience with Python, Unix programming, and automation and batch scheduling
Understanding of data warehousing, data modeling, and data governance concepts
Knowledge of statistics, including z-score, correlation, outlier identification, probability, is desirable.
Experience with Azure SQL Server Data Warehouse.
Familiarity with Agile methodologies.

Chubb is the world’s largest publicly traded property and casualty insurer. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance, and life insurance to a diverse group of clients. The company is distinguished by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength, underwriting excellence, superior claims handling expertise and local operations globally.

At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion, and other conditions or opportunities of employment, without regard to race, color, religious creed, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin, ancestry, mental and physical disability, medical condition, genetic information, military and veteran status, age, and pregnancy or any other characteristic protected by law. Performance and qualifications are the only basis upon which we hire, assign, promote, compensate, develop and retain employees. Chubb prohibits all unlawful discrimination, harassment and retaliation against any individual who reports discrimination or harassment."
